policy,n,Q_star,T_star,B_star,x_star,G_star,demand,cost,emissions,psi_star
cap_and_trade,4.3517241379310345,765.1515196620301,2.5505050655401003,215.76227279305965,0.2819863350573525,1.0,300.0,18.27475233657075,8.471799278440278,nan
strict_cap,4.3517241379310345,755.5195941950259,2.518398647316753,208.0968584777116,0.27543542229295853,0.6923801771214211,300.0,18.328665022496264,9.999999999717677,0.43334694479811525
tax,4.513793103448276,760.9532200375186,2.536510733458395,213.10985431205089,0.28005644591600987,1.0,300.0,23.404542126929364,8.621381444282541,nan
cap_and_trade,4.513793103448276,760.9532200375186,2.536510733458395,213.10985431205089,0.28005644591600987,1.0,300.0,18.404542126929364,8.621381444282541,nan
strict_cap,4.513793103448276,752.4408557386251,2.508136185795417,206.144218717626,0.2739673386226042,0.7263742874569021,300.0,18.448195515407036,9.99999999864679,0.43982613078450766
tax,4.675862068965517,757.0570719370332,2.523523573123444,210.4393925411992,0.27797031471189015,1.0,300.0,23.5262787869408,8.778063504527948,nan
cap_and_trade,4.675862068965517,757.0570719370332,2.523523573123444,210.4393925411992,0.27797031471189015,1.0,300.0,18.5262787869408,8.778063504527948,nan
strict_cap,4.675862068965517,749.6796457966949,2.49893215265565,204.2193378506538,0.27240880687593844,0.7610617029167486,300.0,18.560382142035373,9.999999994851995,0.4466402675333829
tax,4.837931034482759,753.4707093909525,2.511569031303175,207.7494044149907,0.27572326545104753,1.0,300.0,23.63944888720335,8.94191281964341,nan
cap_and_trade,4.837931034482759,753.4707093909525,2.511569031303175,207.7494044149907,0.27572326545104753,1.0,300.0,18.63944888720335,8.94191281964341,nan
strict_cap,4.837931034482759,747.2361606764377,2.4907872022547926,202.32261148522127,0.2707612695055712,0.7963087670497164,300.0,18.664865440356024,9.999999983816114,0.45378408056795155
tax,5.0,750.1999375068178,2.5006664583560596,205.0380148314412,0.27331115957281427,1.0,300.0,23.743603704927544,9.112949910571409,nan
